,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2019-10-31,0.01445979092261493,0.01246235416928854,,0.015167468620634339,,,0.01623970317021298,,,0.006925114037180377,,,,,0.03887014405062699,,0.03923439968535322,0.086149094992551,0.10768636821592872,,0.021176111397577312,0.086149094572743,0.05363699090809527,0.19418480351093956,0.04526479222129074,0.031303683157866455,0.005055536927367119,,,0.07275380452462885,,,,,0.03373798035163145,,0.025830638707837514,,0.09371212585563156,
2019-11-30,0.01513830439738002,0.01667434368897165,0.017547575314742568,0.020506442930764868,,,,,,0.030643641234571077,,,,,0.05190967872715666,,0.05955140614525298,0.09194744994402922,0.11493431273868371,,0.0141628777704164,0.09194745019094697,0.07612162824821589,0.1774935964692666,0.0658755187006663,0.023693556120176047,0.006611827775719449,,,0.07652903691718602,,,,0.016972697999133382,,0.008061464029646699,0.023677190657073615,,,
2019-12-31,0.010332725412417289,0.011001190203284193,,0.021300639238120332,,,,,,0.009977336432865986,,,,,0.05487770685284475,,0.045167819266444094,0.08781449019269329,0.10976811298110695,0.0038055942376589743,0.012508191569232966,0.08200528707984966,0.06981222772205635,0.2,0.08953960726288482,0.027960986355708366,0.006910589530660112,,,0.06622725685570328,,,,,0.06298300486738007,0.0076266980517689775,0.02038053588731949,,,
2020-01-31,0.013864784990628175,0.025124089911229303,,0.03277732643907085,,,,,,0.016287370642407442,,,,,0.08182246273338109,,0.03980380120659743,0.09926879807978092,0.1240859970766454,0.005665132331677543,0.03655565663136931,0.09926879807978092,0.08639969496887062,0.15691429026650425,0.09079585333749286,0.020675363612017945,0.0044056630723878654,,,,,,,,0.03302571915523951,0.0071600545970598485,0.020462116497288435,0.0056370263705702505,,
2020-02-29,0.013907177309031045,0.02859173641894498,,0.035462082486956585,,,,,,0.017209257137504017,,,,,0.08397652571432358,,0.03720243881494453,0.0965488289799435,0.12068603662827851,0.005888311243969163,0.039097079990561834,0.0965488289799435,0.08144523280601831,0.16627267139163895,0.08123671178135833,0.020451618538393817,0.005425132254533805,,,,,,,,0.035554882858123985,0.008366636008183157,0.019943634020195448,0.00618517663715302,,
2020-03-31,,0.013246206292979748,,0.026584406848316137,0.04601895786660633,,,,,0.04059063797598922,,,,,0.0461659906217088,,0.043025312396111445,0.08425357100746247,0.10531696344755907,0.008032003926432038,0.05671563549025687,0.08425357100746247,0.03109674610307967,0.19888879956213648,0.0319712518319625,0.019823898403307193,0.005902832890623209,,,0.10991010629980219,,,,,,0.008629632198808638,0.027287094975379553,0.012286380854015946,,
2020-04-30,,0.010677254843185182,,0.0576200613276977,,,,,,0.024760944426073465,,,,0.012062046262231788,0.03372657324202362,,0.04147337474858173,0.08287287384919394,0.10359109195711187,0.01389814770572952,0.04268818450705416,0.08287287384919394,0.05126697596616767,0.19999999999999996,0.057881412887347966,,0.0064042900299767,,,0.07357886910679282,,,0.06684116974632284,,,0.009756391311905355,0.019596541184446356,0.008430923048963191,,
2020-05-31,,0.010972367792981894,,0.04584224985736704,0.028649230902289297,,,,,0.021724196049173698,,,,,0.08942279750097164,,0.04693852958738751,0.08246571975935121,0.1030821493116681,0.012292345949805617,0.04270302603880973,0.08246571975935121,0.05078242841271445,0.19999999999999998,0.04247870302957962,,0.005756913570003934,0.01654589224387358,,,,,0.08131796355092459,,,0.009487527815219632,0.020194683562654168,0.006877555305873016,,
2020-06-30,,,,0.02192756581224724,0.02032627691434209,,,,,0.019382540206237985,,,,0.013518144801111485,0.05194597557257276,,0.026487903166616585,0.0837509658900297,0.10468870702679942,0.012055242241428666,0.03982029016621926,0.0837509658900297,0.03236630893036838,0.20000000000000004,0.16994489147390404,0.020615553104709625,,0.019593905999411666,,,,,,,0.04734549100870574,0.007018750309606876,0.01935513050516478,0.006105390980493922,,
2020-07-31,,,,,0.045002947406043256,,,,,0.02099781628751495,,0.049490958873374444,,0.010462525779340133,0.07717175870493732,,0.056921250272338776,0.07945500027596894,0.09931875071935083,0.016116022846262616,0.03177630820219592,0.07945500027596894,0.03980790406263879,0.19999999999999998,0.04040242023107356,0.018033766695158385,,0.02228028149650643,,,,,,,0.0682374314619533,0.00924517011197842,0.024135516449267095,0.011689169848127979,,
