Date,SPY,QQQ,SCHD,IWM,GLD,IEF,SHY,TLT,NVDA,MSFT,AAPL,GOOGL,AMZN,META,AVGO,TSLA,LLY,JPM,V,XOM,COST,AMD,069500.KS,229200.KS,360750.KS,133690.KS,411060.KS,261240.KS,153130.KS,148070.KS,458730.KS,005930.KS,000660.KS,005380.KS,000270.KS,035420.KS,068270.KS,207940.KS,373220.KS,051910.KS,006400.KS,105560.KS,055550.KS,012450.KS,042660.KS,009540.KS,034020.KS,028260.KS
2016-11-25,224559.44914525375,131399.4950457886,12353.473813093733,140415.04859501682,132998.0467193909,99731.1489000991,81970.18249121681,108962.29238057323,2735.3839806388132,64029.011157358065,30374.459646387957,45669.576794846915,46082.802843997255,141067.7744593285,16076.087754744105,15483.565734655363,70364.99973984808,72433.36013305373,88538.2055265829,67827.13699072972,152240.55189344287,10357.809468864463,20743.96484375,8403.4443359375,,24903.306640625,,,94941.7109375,97941.09375,,25777.443359375,37553.1015625,96673.765625,25491.1015625,155238.203125,71885.4140625,246464.59375,,196768.171875,87676.9296875,27157.458984375,28384.166015625,53286.75,38935.94921875,92376.0078125,20602.380859375,112975.71875
2016-11-28,221924.9303302504,130173.96229459159,12249.110094837844,137612.84815428965,133453.2580221556,99477.15965732001,81438.8187755458,108988.84850993566,2714.6005447442294,63660.3611295633,30100.355982800014,45669.83296552487,44959.558223217726,140105.33658200316,15772.777213250753,15332.661325432826,67926.7738558976,71455.95008376893,86760.27405324206,66845.11848101299,150537.1786822863,10354.94047937775,20805.705078125,8323.7685546875,,24773.423828125,,,94946.390625,97999.25,,26199.251953125,37553.1015625,95962.921875,25594.72265625,155816.734375,71125.078125,245703.90625,,198536.828125,88450.265625,27157.458984375,28190.412109375,53286.75,38935.94921875,91446.0546875,20253.1875,117191.21875
2016-11-29,221790.81251348555,130291.18964275718,12215.05783019308,137189.3567345515,132493.04334875196,99326.60956567526,81240.83315518498,109166.47155679017,2682.936383455759,64000.917181916535,29994.015396645293,45764.97807719931,44596.36132816225,140281.99519374222,15804.624682908878,14782.79394195322,67703.14844515175,71819.76502581686,86615.63400520384,66235.17011896893,150381.67572583258,10445.510308139026,20813.94140625,8328.4541015625,,24677.212890625,,,94965.1796875,98290.046875,,26199.251953125,37376.8046875,95607.5234375,25663.802734375,154466.859375,71194.1953125,238857.671875,,199863.390625,89900.265625,27222.189453125,28222.712890625,51854.86328125,38935.94921875,88656.1640625,20020.392578125,107073.9921875
2016-11-30,220908.78161971085,128510.19118915591,12150.534789383877,136299.20926864352,130508.35336303711,98505.1031942321,81083.5123020634,107228.1009737663,2648.530063138809,63031.50315524405,29694.022047630744,44907.75462341448,43828.032996942755,137221.1425613705,15333.536190442392,14746.17916417541,67565.87957313145,72841.92976711644,84479.1913759876,67208.21621557232,148785.9608901292,10405.63229128113,20916.83203125,8361.26171875,,24783.04296875,,,94969.8671875,98331.59375,,27277.22265625,37817.5625,94541.25,25836.5078125,153888.328125,70779.4765625,234293.515625,,200305.546875,89223.609375,27254.556640625,28481.03515625,48939.9453125,38935.94921875,88036.203125,20020.392578125,107917.1015625
2016-12-01,222032.3481052816,127400.5870896019,12174.733243636903,136829.1955308551,131408.62182323914,98992.20467800833,81757.82879984751,107028.9385196818,2539.679084491363,62467.29823268391,29675.983135383576,44628.275928410236,43805.81764817657,134546.91020630207,14769.767223289004,14285.21842896624,66992.22995569184,74967.33919933159,83138.98021601792,67752.63668800751,151724.1826609932,9884.511145445635,20933.296875,8314.392578125,,24407.830078125,,,94983.953125,97729.2109375,,27324.0859375,38963.55078125,93830.421875,25663.802734375,147331.671875,70088.2734375,219840.34375,,202958.59375,88740.2578125,27092.708984375,28351.87890625,47098.94921875,38935.94921875,92995.9921875,20757.576171875,107917.1015625
2016-12-02,220176.92079651728,126524.19891005382,12106.49708992755,135545.3652320467,130945.87181170657,98556.22068654746,81120.3932074774,106858.71950242855,2540.4603240096476,61966.55759788491,29523.395503512584,44240.69826029148,43224.747096948326,133703.3370894678,14767.60431507742,14126.833510382101,68150.43540326692,74131.03566931281,82719.73554095998,66998.88718558103,150727.81653199717,9960.480271686567,20785.126953125,8155.04248046875,,24090.349609375,,,95007.4375,97293.0234375,,26980.390625,39139.8515625,94896.6796875,25698.341796875,145596.109375,68844.09375,216036.875,,204727.3125,88256.9296875,27189.81640625,28319.5859375,43621.50390625,38935.94921875,94235.9296875,20291.986328125,105809.3515625
2016-12-05,221860.35142360628,127715.89671151806,12177.121691006934,138099.53198061138,130457.18234765623,98679.04607251193,81252.3883552188,106916.2612203937,2643.271115631622,63083.51401523501,29358.862735555973,45110.288358911406,44407.3701240723,136276.69000205956,14963.674313810072,14565.417856974294,67807.68618835183,75762.20547421463,84594.14336358849,67447.11634114198,150655.34905250743,10152.128145019524,20760.4296875,8051.931640625,,24133.642578125,,,95016.8125,97662.75,,26839.78515625,39139.8515625,95252.078125,25801.966796875,147331.671875,69189.703125,216036.875,,206053.859375,86806.9375,26801.392578125,27770.6328125,42598.71875,38935.94921875,93305.96875,20408.384765625,106230.8828125
2016-12-06,222066.41056555882,127736.85354296304,12183.82574435277,139281.57126099057,130037.69496795349,98496.29855778068,81051.94749106653,106597.33095474169,2680.7167128777364,62660.53443738166,29518.871663036756,44891.65345471259,44621.02933782898,135833.63900522143,14807.152635861887,14459.006379658123,68199.5567319952,75983.54699514993,84187.01332031563,67358.14281039406,149566.4451480843,11028.055185129168,21011.498046875,8084.7412109375,,24282.763671875,,,95026.203125,97966.0078125,,27308.470703125,39845.0859375,97029.1875,26250.998046875,145788.9375,69120.578125,222122.421875,,214012.984375,86903.6015625,26445.3359375,27770.6328125,43365.80078125,38935.94921875,95165.890625,20873.974609375,108760.203125
2016-12-07,225657.4760077335,129748.97858890146,12393.719518521102,141066.25748010166,130902.61410379037,99125.5363931302,81327.99948205613,107836.03912006505,2737.2654528887942,64340.43565831985,29899.756451052614,45915.62763209827,45090.758323741145,136991.33727838285,15193.97240956896,15072.783212170936,67983.8298410615,76561.36057586968,86853.0685861241,67957.17650075443,152844.17610761896,11190.458957979223,21069.119140625,8080.052734375,,24345.30078125,,,95035.59375,97791.53125,,27683.412109375,39889.15625,97029.1875,26009.208984375,144631.875,68222.0078125,228968.65625,,215781.71875,87676.9296875,27092.708984375,28933.119140625,43416.9453125,38935.94921875,92995.9921875,19787.59765625,109181.75
2016-12-08,223688.12900543213,128530.07272720337,12261.14408493042,141690.1355934143,129142.27464675903,97648.87313842773,80411.80017471313,105376.17824554443,2661.4788860082626,63249.883642196655,29856.672735214233,45615.97094535828,44409.22473907471,136566.64030075073,15217.125208377838,14838.378036022186,67036.3486289978,76653.39576721191,85852.29391098022,67390.30049324036,154814.3003463745,11968.550176620483,21427.203125,8108.17431640625,,24518.470703125,,,95044.984375,97945.25,,27964.615234375,40770.6953125,100938.7890625,26872.728515625,155045.390625,67945.5390625,228968.65625,,222856.5,91350.2734375,28743.525390625,30547.693359375,43314.66796875,38935.94921875,95475.875,19865.1953125,107495.546875
2016-12-09,225962.81621551514,130069.79591751099,12378.934130430222,142549.84899902344,128312.40177345276,97546.00241088867,80732.26036262512,104492.43065452576,2624.9442341923714,64508.78546333313,30468.50806903839,46625.72233963013,44668.75268936157,138015.01502037048,16029.633187532425,14890.747319221497,67972.63575458527,77302.5180015564,86052.36148834229,68187.83981323242,157530.94930267334,12017.665177345276,21439.55078125,8281.5869140625,,24638.7265625,,,95059.0703125,97708.4375,,27808.3984375,40109.5390625,102360.4609375,26976.35546875,154274.0,69397.0625,220601.03125,,222414.328125,90770.28125,28096.1484375,30386.228515625,43570.36328125,38935.94921875,94545.9140625,19748.798828125,106652.453125
2016-12-12,227198.72496910393,130339.86171187833,12523.21066007833,141979.583736239,129653.8532318268,98210.96628955565,81238.22121430188,105381.68515570462,2578.1616019111243,65145.727980476804,30495.417784349993,46844.74355998449,44465.118451206945,136712.1490050573,16052.039441844681,15008.89796406962,68180.92387602665,77122.87548876368,85921.94846328348,70166.6173960967,159200.1683984697,12495.065835556015,21410.73828125,8436.25,,24802.28515625,,,95068.453125,97230.7109375,,27370.95703125,39933.23828125,102715.8828125,26838.19140625,152731.234375,69673.5390625,217558.265625,,220645.640625,93090.2734375,28290.359375,30418.52734375,45718.1953125,38935.94921875,97025.8125,20408.384765625,107073.9921875
2016-12-13,227678.9679891374,131385.43704792392,12545.364963300526,141346.70811283216,128635.59164230339,97822.13409825694,80860.63859499525,105278.6061318526,2611.7438626011426,65695.5396938743,30863.672147092642,47061.97899004212,45091.75389342802,139028.01743998937,16094.125703013036,15385.026866937638,68906.05771085154,76800.69519552682,86295.46471218858,71077.15899079945,157925.41306546703,12275.411212896346,21451.892578125,8529.98828125,,24739.75,,,95077.859375,97542.265625,,27589.673828125,39624.70703125,103071.2734375,27356.3046875,151574.234375,71539.796875,221361.71875,,225067.40625,94540.296875,27901.939453125,29804.998046875,44746.5546875,38935.94921875,97645.7890625,20485.982421875,109181.75
2016-12-14,225594.1827637311,130993.43612033967,12407.283361502108,139453.60125947744,126633.49811082147,96920.79795303382,80633.95626401436,104007.57147792727,2760.4856295525096,65323.10548718274,30835.580187956104,47166.198984358925,44729.56407771539,138786.0319979284,16007.378400719725,15412.913024600362,67870.45597197209,76703.62647910509,86140.7146665575,69478.37747446122,157011.4238736108,12275.87436134147,21472.466796875,8544.0478515625,,25124.578125,,,95091.9296875,98078.171875,,27761.525390625,40418.08203125,102005.046875,27356.3046875,151381.34375,72300.125,218318.953125,,218434.765625,94443.6171875,27869.560546875,30709.15234375,45718.1953125,38935.94921875,95165.890625,19942.794921875,108760.203125
2016-12-15,229554.06280569546,132956.06046739127,12610.386382719618,142375.7293735519,126571.03375063464,97943.28762571234,81674.18618550058,105931.54088735394,2862.972980402643,66091.5726594748,31419.088497856166,47666.4324418623,44867.0384009094,141064.3240657635,16439.850779877976,15531.89588924835,72539.24945006892,78895.11023641471,87701.53891666979,70649.01467634458,160233.2494865153,12805.677566358936,21464.244140625,8614.3486328125,,25230.408203125,,,95101.3203125,97679.3671875,,27480.3125,40197.69140625,100938.7890625,27079.978515625,151574.234375,73267.8125,216797.5625,,223740.859375,98600.296875,27610.62109375,29837.287109375,46740.9765625,38935.94921875,94235.9296875,20253.1875,109181.75
2016-12-16,230129.08813856728,133055.24426622037,12672.471720485482,142749.49412370753,127977.67091806047,98504.59041168448,82078.12369831,106160.29076777771,2925.295457578817,66089.90839442704,31600.38861445221,47538.40850786725,44876.27834304841,140872.14646350127,16367.456212594407,15989.016162292915,74844.04310258524,78270.95351429656,86819.18741229828,71191.20251354482,161251.01773454063,12626.02419182891,21517.748046875,8623.7216796875,,25408.392578125,,,95101.3203125,97891.2265625,,28011.484375,40902.90625,99161.6875,27114.521484375,155431.078125,74373.75,219840.34375,,221972.171875,100533.6328125,28549.3046875,30741.4375,46536.421875,38935.94921875,92685.9921875,20253.1875,106652.453125
2016-12-19,230935.84030151367,133777.45568847656,12720.828817367554,143874.74291992188,128787.73565673828,99091.9323425293,82225.9250793457,107444.44990539551,2964.762195110321,67579.68196868896,31825.087371826172,47757.77293395996,45423.79909515381,140317.48489379883,16576.549228668213,16029.185146331787,75055.70217132568,78826.77987670898,86656.87544250488,70691.3801574707,164534.73406982422,12986.699773788452,21534.2109375,8633.095703125,,25341.041015625,,,95101.3203125,97936.9296875,,28042.734375,39800.99609375,100938.7890625,27114.521484375,154274.0,74373.75,228207.96875,,229489.171875,103916.9921875,28646.423828125,30579.98046875,45411.36328125,38935.94921875,92685.9921875,20291.986328125,107917.1015625
2016-12-20,232012.36583630368,134397.423273338,12762.887133229291,145210.9274484776,127941.33632350154,98961.76200905629,82301.57485261746,106994.66531400941,3070.4902606864343,67548.7600860903,31935.22657647077,47954.8490680987,45769.978045155294,140253.22535406984,16737.833073330577,16521.552168254973,75074.89683359768,79905.70579910837,87015.0082398802,70755.8305378845,165069.46440849453,13661.794209659565,21583.60546875,8506.5517578125,,25480.544921875,,,95106.0,98144.6484375,,28308.318359375,39800.99609375,102005.046875,27183.6015625,151767.046875,72576.609375,230490.046875,,228604.796875,106333.6640625,28484.568359375,30515.400390625,45564.7734375,38935.94921875,93305.96875,21494.76171875,107495.546875
2016-12-21,232247.79672627524,134808.53858851828,12782.405357263284,144812.9884670321,128500.03452229314,99501.17786115035,82654.13863001391,107876.18310878612,3101.5249281764263,67805.99225885328,32086.98889216641,47960.31603388395,45907.33651676029,140728.22776630893,16821.87075517373,16497.888270035153,75227.29520766623,80413.9420125056,87101.11631012708,70907.47116792016,164868.87543931976,13666.16088212165,21554.79296875,8492.4912109375,,25663.341796875,,,95106.0,98252.6640625,,28198.958984375,39668.76953125,102005.046875,27114.521484375,150224.328125,71194.1953125,225165.1875,,233026.5625,104400.3203125,28484.568359375,30806.025390625,45922.75,38935.94921875,93925.953125,21261.96875,111711.046875
2016-12-22,232212.51065304503,134640.13526694383,12790.925291401218,143790.8512601545,128392.51950311288,99614.99664558191,82805.21571049187,107853.21944457013,3143.989797000366,67923.66662224475,31926.222545730416,47886.959810370114,45725.592616925016,139008.42876087315,16692.21745296952,16583.586660476052,75356.28805278847,80670.80250113737,86970.64189366065,71483.48171379184,164146.6402552519,13842.860172023764,21542.443359375,8445.6240234375,,25764.359375,,,95115.421875,98389.75,,28261.453125,40109.5390625,100938.7890625,26803.650390625,149067.25,70710.3515625,219079.640625,,233468.75,102950.3046875,28484.568359375,30547.693359375,44337.44921875,38935.94921875,92376.0078125,21378.365234375,110024.8515625
2016-12-23,234842.27634280547,136056.36831602827,12925.691818922875,145979.20888343453,130066.44073275756,100692.70806138963,83620.53502544854,109137.04122848157,3254.0909260017215,68257.85945052607,32304.339479405666,48246.177338699345,45829.3483814667,140221.67347380053,16981.63791433163,17139.73534164403,76648.7698163474,81615.11818222608,88108.81344938278,72060.21963083372,165773.1083786711,13955.057625343325,21513.630859375,8539.3583984375,,25764.359375,,,95120.09375,98539.296875,,27839.642578125,40814.7578125,102360.4609375,27010.89453125,148103.0625,71885.4140625,219079.640625,,235679.609375,104883.6484375,28193.2578125,30224.775390625,44695.421875,38935.94921875,92066.0234375,21727.55859375,108338.6484375
2016-12-26,,,,,,,,,,,,,,,,,,,,,,,21554.79296875,8506.5517578125,,25759.544921875,,,95106.0,98456.21875,,28089.603515625,40241.76171875,102715.8828125,26941.810546875,147524.53125,73336.9375,219079.640625,,232584.390625,104883.6484375,28225.62109375,30515.400390625,43723.7734375,38935.94921875,90516.09375,21843.955078125,106652.453125
2016-12-27,234340.63887546957,136128.3846598845,12886.662108981283,145958.4589961022,130223.15037219226,100084.31811777689,83195.95079519786,108284.76996067353,3461.5753082149313,67986.47947563604,32359.78262329288,48150.615464016795,46266.64501722716,140456.67444864847,16937.808997345855,17555.814488200238,76316.45274237636,81313.92053861171,87927.4889837075,71759.97096052859,164979.11365599558,14478.568723281845,21587.720703125,8558.1083984375,,25937.533203125,,9947.9833984375,95106.0,98319.1171875,,28105.224609375,40241.76171875,102715.8828125,27287.21875,148874.421875,73475.1796875,221361.71875,,235679.609375,105850.3203125,28096.1484375,30709.15234375,43928.328125,38935.94921875,89896.1171875,21611.16015625,104966.2421875
