,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2019-10-31,0.0,0.04108403123192913,,0.06563555588900716,,,0.0,,,0.0,,,,,0.0,,4.593018429009956e-16,0.1897273277143507,0.14378158420247308,,0.0,0.0,0.0,0.12092733588297798,0.0,0.02757179506843373,0.019113237592417984,,,0.07566804433523372,,,,,0.14999999999999988,,0.016491088083176324,,0.14999999999999988,
2019-11-30,0.009253163508813217,0.06451637831984033,6.187030255004743e-17,0.07196390851436589,,,,,,0.0,,,,,0.0,,0.022340480574430176,0.19999999999999993,0.0,,0.030375641379165076,2.314798685654182e-18,0.0,0.19999999999999993,0.0,0.11520697677616322,0.03634345092722221,,,0.14999999999999997,,,,0.0,,9.285757617509153e-17,0.09999999999999998,,,
2019-12-31,0.0,0.04544964208816586,,0.02773127367115112,,,,,,0.0,,,,,0.0,,0.0,0.19999999999999993,0.05791657797086078,0.0675893148966069,6.040145420753515e-17,0.0,0.0,0.19999999999999993,0.0,0.058414762020762144,0.01481545454613233,,,0.1359995527771809,,,,,0.14999999999999994,0.0,0.04208342202914017,,,
2020-01-31,3.358085739766973e-17,0.031272207809343686,,0.023655142400334356,,,,,,0.0,,,,,0.0,,0.0,0.1999999999999998,0.019694780743655348,0.05957552848991518,3.5971737912169275e-16,0.0,0.0,0.18601163951710845,0.10986156142966264,0.08399792966248046,0.02841931800662738,,,,,,,,0.14999999999999994,0.0,0.09429357973923615,0.013218312201636299,,
2020-02-29,5.564974943802407e-17,0.05399315838855071,,0.03411587656911982,,,,,,3.6337640211010027e-17,,,,,0.0,,0.0,0.2,1.118447056732987e-17,0.05661883268469338,0.008689738132181468,1.1514574826994719e-16,0.000805436992055101,0.1499999999999999,0.09361473698950909,0.057146106129431704,0.02072895962988508,,,,,,,,0.14999999999999986,4.625102174962e-18,0.1500000000000004,0.02428715448457331,,
2020-03-31,,0.06897088887364788,,0.0,0.03320497233932308,,,,,0.0,,,,,3.682458119707587e-17,,0.03846985345463661,0.14999999999999955,3.309397702521843e-17,0.08505465762838788,1.150884559742118e-16,9.781806885171486e-17,0.0,0.15,0.0,0.06277406172432905,0.04355968790887497,,,0.14999999999999997,,,,,,0.0015575153042523767,0.19999999999999996,0.016408362766548383,,
2020-04-30,,0.032780283422745866,,0.010295508717520043,,,,,,0.0,,,,0.05345486196371899,0.0,,0.02076991882070352,0.20000000000000004,2.3416580557577053e-16,0.049673614801490094,0.0,1.6019300495603833e-16,0.0,0.15840888673123232,9.554295198419921e-17,,0.00900078143446993,,,0.13713012582106193,,,0.1499999999999998,,,0.02886067167535733,0.14159111326876742,0.008034233342932337,,
2020-05-31,,0.045666351677743106,,0.0,0.04475242449519364,,,,,7.510388052234008e-17,,,,,1.1704959364594826e-16,,0.07262184608830244,0.16730908571186473,0.0,0.059680624310830654,3.714637431622861e-16,0.0,0.0,0.15000000000000055,2.027117977264039e-17,,0.02844788979030262,0.06337406248346619,,,,,0.14999999999999997,,,0.029774625033079483,0.18269091428813466,0.005682176121081436,,
2020-06-30,,,,0.052611780184339034,0.04303303913919909,,,,,3.241892097710666e-16,,,,0.07219421587984214,2.7135014035779756e-16,,0.0351399066839356,0.1499999999999992,5.653652295290913e-17,0.011498786476759018,5.239345296057077e-16,3.908269959051759e-16,0.0,0.14999999999999986,0.010016303115645574,0.0936367011456595,,0.026065302538675523,,,,,,,0.14999999999999925,2.712294664607757e-16,0.19999999999999948,0.005803964835945086,,
2020-07-31,,,,,0.044649113582911855,,,,,0.0,,0.0,,0.07419815632195859,0.0,,0.005955231152887083,0.1500000000000003,0.0,0.025199358245931537,0.0,0.0,0.0,0.1500000000000005,0.05554992194189096,0.09793865878485371,,0.03325666715477973,,,,,,,0.14999999999999972,0.0,0.19999999999999965,0.013252892814786334,,
2020-08-31,,,,,,,,,0.0,0.0,,3.102629493237156e-17,,0.08270335502051103,0.0,,0.043485406189280665,0.15000000000000055,1.2979624040331652e-16,0.035290849899794266,2.3809981280228095e-16,1.8473921089032197e-16,0.006100979977032489,0.14999999999999955,0.07063635325827167,0.13121780392010515,0.04509561428266883,0.05092173848331818,,,,,,,,6.449881214426748e-17,0.19999999999999987,0.034547898969016964,,
2020-09-30,,,,,0.05465188379343133,,,,1.4941496554503107e-15,0.013206862465777973,,0.0,,,5.666614518014004e-17,,3.713017046732203e-16,0.14999999999999145,5.768115996710321e-17,0.04437748808413644,0.0,0.0,0.0,0.15000000000000147,0.0,0.13202830817759173,0.07012500641002747,0.13759300408250297,,,,,,,,0.005647025398891635,0.19999999999999954,0.04237042158764589,,
2020-10-31,,,,,0.09033628970670593,,,,0.0,0.0,,0.0,,,0.0,,3.358626140051776e-16,0.15000000000000094,0.0,0.043392059517031976,9.16038486575245e-17,3.062326465726177e-16,3.8318007204168516e-16,0.14999999999999952,0.0,0.0945979086778338,0.12647597521648637,0.08163569537320993,,,,,,,,0.0,0.1999999999999998,0.06356207150873061,,
2020-11-30,,,0.0,,0.054303727779417985,,,,0.0,,,0.0,,,1.0612932776441627e-16,,0.0,0.15000000000000083,5.742787982489577e-17,0.08590431147176494,4.4546203673616e-17,0.0,0.0,0.1500000000000001,1.3368728952660764e-17,0.05637886370548907,0.09800406716066072,,,0.14999999999999988,,,,,,0.0,0.19999999999999987,0.0554090298826665,,
2020-12-31,0.011953562345820306,,0.0,,0.07646952898165392,,,,0.0,,,0.0,,,0.0,,0.0,0.1816210946442711,9.926728085400407e-17,,0.0,2.3991034669724124e-17,1.760084432171442e-16,0.14999999999999983,0.0,,0.10355670802202982,,0.09197145528803584,0.14999999999999977,,,,,,0.0,0.16837890535572902,0.06604874536246005,,
2021-01-31,0.04620293528540817,,,0.08103047730611881,0.07174283046206861,,,,9.987579961234017e-16,,,2.3676648606174134e-16,,,2.461463606620368e-16,,9.736801714109426e-17,0.14999999999999802,0.0,,1.2050116926078462e-17,0.0,0.0,0.12286592011592487,2.69819898406754e-16,0.07718827115792608,,,0.05805258390842731,0.14999999999999944,,,,,,2.4756372444022035e-16,0.1999999999999997,0.04291698176412694,,
2021-02-28,0.024587998259853205,,,0.09451616177452768,0.07348442559459022,,,,0.0,,,0.0,,,9.02263999017205e-17,,0.0,0.14999999999999972,3.295223607971682e-17,,1.5585784720155292e-16,1.3567698488184527e-16,0.0,0.11334759150249843,1.267444493848922e-16,0.04352328156162039,,,0.10181169672372409,,,0.015188710374093538,0.14999999999999988,,,,0.19999999999999993,0.033540134209092375,,
2021-03-31,0.0629798431455672,0.07023053549109232,,,0.018380113843525413,,,,0.0,,,9.95286731046458e-17,,,0.0,,0.004435063029430634,0.09867882710587426,0.0,,1.204698524365776e-16,0.05132117289412536,1.4617626296236395e-16,0.1473975433801415,0.06377162094849498,,,,0.10903215594243604,,0.10486385606376551,0.0,,,,,0.19999999999999993,0.06890926815554634,,2.0998670288044468e-16
2021-04-30,0.02331279670080099,,0.0,0.07389213932985629,0.026485694324184707,,,,0.0,,,,,,0.0,,0.017285699487769687,0.15000000000000024,2.6399754734844394e-16,,0.0,1.030791584896496e-15,9.0843141182075e-17,0.14104077296205902,0.05031420707051064,,,,0.1156146839335588,,0.1499999999999997,4.187343412573077e-16,,,,,0.19999999999999962,0.052054006191258426,,0.0
2021-05-31,0.05907669329621442,,0.0,0.06645668795724512,,,,,0.0,0.0788817928815316,,,,,7.735783188480169e-19,,7.017887368264005e-18,0.1500000000000006,0.0,,0.0,0.0,0.0,0.1499999999999999,0.08032150220481182,0.033607757746883134,,,,,0.10932897981747192,0.0207072689609138,,,,,0.1999999999999998,0.05161931713492805,,0.0
2021-06-30,0.06959895343821337,,0.0,,,,0.035782617482143037,,0.0,,,,,,2.713290581795492e-16,0.08880054402383299,0.017820092649009626,0.1500000000000023,0.0,,0.0,1.2496480656552623e-16,0.0,0.14999999999999933,0.0,,,,,,0.13222631971787613,0.009234436836637515,,,,0.08895868145417797,0.19999999999999965,0.05757835439810766,,0.0
2021-07-31,0.05637375360563841,,2.3803693267132647e-16,,,,0.05011170584730829,,9.138495483110485e-16,,,,,,0.0,0.08294551452436243,0.040255587166007384,0.14999999999999628,0.0,,3.9730895144275376e-16,1.8648355903139482e-16,5.854418943887277e-17,0.15000000000000024,0.0,,,,,,0.12929988490893884,0.0,,,,0.08111301044263915,0.19999999999999946,0.05990054350510734,,3.285492093618254e-16
2021-08-31,0.02826329163682666,,,,0.02928236155704123,,1.5551900032715641e-16,,0.0,,,,,,2.7877117992839314e-17,0.08551884513284812,0.0,0.11148573183670879,0.1588860023642049,,1.2869791494702589e-17,0.0,2.9063487921555466e-16,0.14999999999999994,0.0,,,,,0.1141185683699803,0.07171718632155401,4.1649265122808823e-17,0.13467863906592206,,,0.03642110791582708,0.07962826579908633,,,
2021-09-30,0.0427293364873183,,,,0.005309347963334221,,0.005025520214587552,,0.0,,,,0.05333528748565826,,0.0,,0.0016070420732200834,0.0,0.10973552071056387,,7.77811738562484e-17,1.8787954001411445e-17,2.6371713537496353e-16,0.19999999999999996,1.8251277293302545e-16,,,,,,0.10768516632965995,0.06996720985175671,0.13868607683216264,,,0.07565501276230219,0.19026447928943593,,,0.0
2021-10-31,0.04410737046000339,,,,1.659981274597192e-16,,0.0,,7.144339856461069e-16,,,,,,0.0,0.1419875228452752,0.0,2.7445984950657027e-16,0.1499999999999991,,0.0,2.193108227824982e-16,0.0,0.144114671399815,0.0,,,,,,0.10234881119279535,,0.11209150335939075,,,0.0739693477263151,0.19999999999999982,0.031380773016403914,,9.205687287259787e-16
2021-11-30,0.06281351200572247,,,,0.0,,0.0,,2.1566475276631187e-16,0.05616979560012115,,,,,0.015606501527224986,,1.0923336887791454e-17,3.82723366887383e-17,0.14999999999999936,,0.0,0.0,0.0,0.13758483109692773,5.2361344046306775e-17,,,,,,0.06759182573752076,,0.03706922864234318,,0.12526762289809912,0.12141988589033238,0.19999999999999996,0.026476796601708437,,
