ticker,weight,model,name,asset_class
AMZN,0.022208110588388435,Reject_InvVol,아마존,us_stock
207940.KS,0.018978041456541906,Reject_InvVol,삼성바이오로직스,kr_stock
055550.KS,0.018341299979660577,Reject_InvVol,신한지주,kr_stock
105560.KS,0.017019930380172073,Reject_InvVol,KB금융,kr_stock
AVGO,0.016831861467992305,Reject_InvVol,브로드컴,us_stock
LLY,0.016361601828287192,Reject_InvVol,일라이릴리,us_stock
068270.KS,0.01621132989126854,Reject_InvVol,셀트리온,kr_stock
373220.KS,0.013363896375846855,Reject_InvVol,LG에너지솔루션,kr_stock
069500.KS,0.013025490559714357,Reject_InvVol,KODEX 200,kr_equity_etf
009540.KS,0.01283950600087716,Reject_InvVol,HD한국조선해양,kr_stock
229200.KS,0.012809338247873813,Reject_InvVol,KODEX 코스닥150,kr_equity_etf
012450.KS,0.011485744847081557,Reject_InvVol,한화에어로스페이스,kr_stock
042660.KS,0.011012703014383335,Reject_InvVol,한화오션,kr_stock
051910.KS,0.010828040753478513,Reject_InvVol,LG화학,kr_stock
AMD,0.010635696385745593,Reject_InvVol,AMD,us_stock
006400.KS,0.010027068938456937,Reject_InvVol,삼성SDI,kr_stock
SHY,0.15581493179563852,TopScore_InvVol,미국채1-3년 ETF,cash_usd
261240.KS,0.15581493179563852,TopScore_InvVol,KODEX 미국달러선물,cash_usd
SPY,0.14189270738544946,TopScore_InvVol,S&P500 ETF,us_equity_etf
QQQ,0.1325884897137971,TopScore_InvVol,Nasdaq100 ETF,us_equity_etf
SCHD,0.12562649284986097,TopScore_InvVol,미국배당 ETF,us_equity_etf
IWM,0.11452397182675444,TopScore_InvVol,미국소형주 ETF,us_equity_etf
229200.KS,0.07784908542225262,TopScore_InvVol,KODEX 코스닥150,kr_equity_etf
069500.KS,0.0437338783575917,TopScore_InvVol,KODEX 200,kr_equity_etf
TLT,0.021209829048261162,TopScore_InvVol,미국채20년+ ETF,bond
IEF,0.017160307360461733,TopScore_InvVol,미국채7-10년 ETF,bond
051910.KS,0.013773031688728952,TopScore_InvVol,LG화학,kr_stock
009540.KS,1.2342755564921406e-05,TopScore_InvVol,HD한국조선해양,kr_stock
153130.KS,0.11359574459836623,IC_Gated_RejectInvVol,KODEX 단기채권,cash_krw
148070.KS,0.0732898793093119,IC_Gated_RejectInvVol,KOSEF 국고채10년,bond
360750.KS,0.07170288373316162,IC_Gated_RejectInvVol,TIGER 미국S&P500,us_equity_krx
458730.KS,0.061708733464869034,IC_Gated_RejectInvVol,TIGER 미국배당다우존스,us_equity_krx
133690.KS,0.05272184713497268,IC_Gated_RejectInvVol,TIGER 미국나스닥100,us_equity_krx
SHY,0.045183468676147594,IC_Gated_RejectInvVol,미국채1-3년 ETF,cash_usd
261240.KS,0.0448656530479643,IC_Gated_RejectInvVol,KODEX 미국달러선물,cash_usd
SCHD,0.04447231512528684,IC_Gated_RejectInvVol,미국배당 ETF,us_equity_etf
IEF,0.040051507333806115,IC_Gated_RejectInvVol,미국채7-10년 ETF,bond
SPY,0.03759040692550677,IC_Gated_RejectInvVol,S&P500 ETF,us_equity_etf
COST,0.033944949613463705,IC_Gated_RejectInvVol,코스트코,us_stock
TLT,0.03301374703440383,IC_Gated_RejectInvVol,미국채20년+ ETF,bond
QQQ,0.03164141496461703,IC_Gated_RejectInvVol,Nasdaq100 ETF,us_equity_etf
IWM,0.029618628462484316,IC_Gated_RejectInvVol,미국소형주 ETF,us_equity_etf
AAPL,0.02801523646282708,IC_Gated_RejectInvVol,애플,us_stock
V,0.026603923397041797,IC_Gated_RejectInvVol,비자,us_stock
AMZN,0.022208110588388435,IC_Gated_RejectInvVol,아마존,us_stock
207940.KS,0.018978041456541906,IC_Gated_RejectInvVol,삼성바이오로직스,kr_stock
055550.KS,0.018341299979660577,IC_Gated_RejectInvVol,신한지주,kr_stock
105560.KS,0.017019930380172073,IC_Gated_RejectInvVol,KB금융,kr_stock
AVGO,0.016831861467992305,IC_Gated_RejectInvVol,브로드컴,us_stock
LLY,0.016361601828287192,IC_Gated_RejectInvVol,일라이릴리,us_stock
068270.KS,0.01621132989126854,IC_Gated_RejectInvVol,셀트리온,kr_stock
373220.KS,0.013363896375846855,IC_Gated_RejectInvVol,LG에너지솔루션,kr_stock
069500.KS,0.013025490559714357,IC_Gated_RejectInvVol,KODEX 200,kr_equity_etf
009540.KS,0.01283950600087716,IC_Gated_RejectInvVol,HD한국조선해양,kr_stock
229200.KS,0.012809338247873813,IC_Gated_RejectInvVol,KODEX 코스닥150,kr_equity_etf
012450.KS,0.011485744847081557,IC_Gated_RejectInvVol,한화에어로스페이스,kr_stock
042660.KS,0.011012703014383335,IC_Gated_RejectInvVol,한화오션,kr_stock
051910.KS,0.010828040753478513,IC_Gated_RejectInvVol,LG화학,kr_stock
AMD,0.010635696385745593,IC_Gated_RejectInvVol,AMD,us_stock
006400.KS,0.010027068938456937,IC_Gated_RejectInvVol,삼성SDI,kr_stock
